sequence,n
KE-BF-B-NF,1
KE-BF-N-NP,1
KE-NF-B-BF,2
KE-NF-B-NF,8
KE-NF-B-NP,11
KE-NF-B,4
KE-NF-N-BF,2
KE-NF-N-NF,28
KE-NF-N-NP,93
KE-NF-N,5
KE-NP,62
WCF-BF-B-NP,4
WCF-BF-N-NF,3
WCF-BF-N-NP,7
WCF-BP,3
WCF-NF-B-NF,9
WCF-NF-B-NP,11
WCF-NF-B,3
WCF-NF-N-NF,32
WCF-NF-N-NP,98
WCF-NF-N,3
WCF-NP,26
WKE-BF-B-BF,2
WKE-BF-B-BP,1
WKE-BF-B-NP,3
WKE-BF-N-BF,1
WKE-BF-N-BP,3
WKE-BF-N-NF,2
WKE-BF-N-NP,12
WKE-BP,20
WKE-NF-B-BF,2
WKE-NF-B-BP,2
WKE-NF-B-NF,1
WKE-NF-B-NP,6
WKE-NF-B,1
WKE-NF-N-BF,2
WKE-NF-N-BP,3
WKE-NF-N-NF,7
WKE-NF-N-NP,44
WKE-NF-N,14
WKE-NP,97
PE-BF-B-BF,1
PE-BF-B-NF,1
PE-BF-B-NP,1
PE-BF-N-NF,5
PE-BF-N-NP,6
PE-NF-B-BF,1
PE-NF-B-NF,18
PE-NF-B-NP,11
PE-NF-B,1
PE-NF-N-BF,6
PE-NF-N-BP,4
PE-NF-N-NF,35
PE-NF-N-NP,63
PE-NF-N,2
PE-NP,47
WMEC-BF-B-NF,1
WMEC-BF-N-BF,3
WMEC-BF-N-NF,3
WMEC-BF-N-NP,8
WMEC-BP,1
WMEC-NF-B-BF,7
WMEC-NF-B-NF,7
WMEC-NF-B-NP,13
WMEC-NF-B,5
WMEC-NF-N-BF,10
WMEC-NF-N-BP,2
WMEC-NF-N-NF,63
WMEC-NF-N-NP,63
WMEC-NP,18
SACME-BF-B-NP,1
SACME-BF-N-NF,1
SACME-BF-N-NP,5
SACME-BP,1
SACME-NF-B-NF,2
SACME-NF-B-NP,21
SACME-NF-N-NF,2
SACME-NF-N-NP,85
SACME-NF-N,1
SACME-NP,83
PUCME-BF-B-BF,4
PUCME-BF-B-EF,1
PUCME-BF-B-NF,1
PUCME-BF-N-BF,1
PUCME-BF-N-EF,5
PUCME-BF-N-EP,1
PUCME-BF-N-NF,1
PUCME-NF-B-BF,5
PUCME-NF-B-EF,9
PUCME-NF-B-EP,1
PUCME-NF-B-NF,17
PUCME-NF-B-NP,1
PUCME-NF-B,3
PUCME-NF-N-BF,8
PUCME-NF-N-EF,62
PUCME-NF-N-EP,27
PUCME-NF-N-NF,23
PUCME-NF-N,6
PUCME-NP,28
PWTTPE-BF-B-BF,2
PWTTPE-BF-B-BP,2
PWTTPE-BF-B-NF,1
PWTTPE-BF-B-NP,2
PWTTPE-BF-N-BF,2
PWTTPE-BF-N-BP,2
PWTTPE-BF-N-EF,3
PWTTPE-BF-N-EP,4
PWTTPE-BF-N-NF,3
PWTTPE-BF-N-NP,1
PWTTPE-BP,34
PWTTPE-NF-B-BF,2
PWTTPE-NF-B-BP,4
PWTTPE-NF-B-EF,4
PWTTPE-NF-B-EP,14
PWTTPE-NF-B-NF,3
PWTTPE-NF-B-NP,4
PWTTPE-NF-B,1
PWTTPE-NF-N-BF,5
PWTTPE-NF-N-BP,2
PWTTPE-NF-N-EF,8
PWTTPE-NF-N-EP,19
PWTTPE-NF-N-NF,4
PWTTPE-NF-N-NP,1
PWTTPE-NF-N,2
PWTTPE-NP,68
MENW-BF-B-BF,1
MENW-BF-B-BP,6
MENW-BF-B-EF,1
MENW-BF-B-NP,1
MENW-BF-N-BF,3
MENW-BF-N-BP,10
MENW-BF-N-EP,4
MENW-BF-N-NP,4
MENW-BP,16
MENW-NF-B-BF,1
MENW-NF-B-BP,2
MENW-NF-B-EP,6
MENW-NF-B-NF,2
MENW-NF-B-NP,1
MENW-NF-B,1
MENW-NF-N-BP,22
MENW-NF-N-EP,15
MENW-NF-N-NF,4
MENW-NF-N-NP,14
MENW-NF-N,2
MENW-NP,67
MMEP-BF-B-BF,20
MMEP-BF-B-BP,6
MMEP-BF-B-NF,1
MMEP-BF-B-NP,1
MMEP-BF-N-BF,2
MMEP-BF-N-BP,2
MMEP-BF-N-EF,2
MMEP-BF-N-EP,2
MMEP-BF-N-NF,5
MMEP-BF-N-NP,1
MMEP-BF-N,1
MMEP-BP,15
MMEP-NF-B-BF,9
MMEP-NF-B-BP,3
MMEP-NF-B-EF,1
MMEP-NF-B-EP,5
MMEP-NF-B-NF,1
MMEP-NF-B-NP,4
MMEP-NF-B,1
MMEP-NF-N-BF,7
MMEP-NF-N-BP,3
MMEP-NF-N-EF,4
MMEP-NF-N-EP,22
MMEP-NF-N-NF,5
MMEP-NF-N-NP,4
MMEP-NP,33
