userid,modulename,PreLearn,Learning,PostLearning
10,Kinetic Energy,Other_NA,NA,NA
74,Kinetic Energy,NF,N,EP
74,Work by a constant force,NF,N,BP
74,Work and Kinetic Energy,NF,N,BF
74,Potential Energy,NF,N,NF
74,When is Mechanical Energy Conserved,NF,N,EF
74,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
74,Problems Using Conservation of Mechanical Energy,NF,N,EF
74,Problems with Two Types of Potential Energy,BF,N,NP
74,Mechanical Energy and Non-Conservative Work,NP,NA,NA
74,More mechanical energy problems,BF,N,EF
2315,Kinetic Energy,NF,N,NF
2315,Work by a constant force,NF,N,BF
2315,Potential Energy,NF,N,BP
2315,When is Mechanical Energy Conserved,NF,N,NF
2315,Simple Application of Conservation of Mechanical Energy,NF,B,BP
2315,Problems Using Conservation of Mechanical Energy,NF,N,EF
2315,Problems with Two Types of Potential Energy,Other_F,NA,NA
2315,Mechanical Energy and Non-Conservative Work,NF,N,NF
2315,More mechanical energy problems,NF,N,EP
2318,Kinetic Energy,NF,B,NP
2318,Work by a constant force,Other_F,NA,NA
2318,Work and Kinetic Energy,BP,NA,NA
2318,Potential Energy,NF,N,NP
2318,When is Mechanical Energy Conserved,NF,N,BF
2318,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2318,Problems Using Conservation of Mechanical Energy,Other_F,NA,NA
2318,Problems with Two Types of Potential Energy,BP,NA,NA
2318,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
2318,More mechanical energy problems,Other_F,NA,NA
2319,Kinetic Energy,NF,N,EP
2319,Work by a constant force,NF,N,BP
2319,Work and Kinetic Energy,BP,NA,NA
2319,Potential Energy,NF,N,NP
2319,When is Mechanical Energy Conserved,NF,N,NF
2319,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2319,Problems Using Conservation of Mechanical Energy,NF,N,EF
2319,Problems with Two Types of Potential Energy,BF,N,BP
2319,Mechanical Energy and Non-Conservative Work,BF,N,NF
2319,More mechanical energy problems,BF,B,BF
2327,Kinetic Energy,Other_F,NA,NA
2327,Work by a constant force,NF,B,BP
2327,Potential Energy,BF,B,BF
2327,When is Mechanical Energy Conserved,NF,N,EF
2327,Simple Application of Conservation of Mechanical Energy,NF,B,BP
2327,Problems Using Conservation of Mechanical Energy,BF,B,BF
2327,Problems with Two Types of Potential Energy,BP,NA,NA
2327,Mechanical Energy and Non-Conservative Work,NF,B,BP
2327,More mechanical energy problems,Other_P,NA,NA
2328,Kinetic Energy,NP,NA,NA
2328,Work by a constant force,NP,NA,NA
2328,Work and Kinetic Energy,NP,NA,NA
2328,Potential Energy,NF,N,NP
2328,When is Mechanical Energy Conserved,NF,N,NP
2328,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2328,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2328,Problems with Two Types of Potential Energy,NP,NA,NA
2328,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2328,More mechanical energy problems,NF,N,EF
2341,Kinetic Energy,NP,NA,NA
2341,Work by a constant force,Other_P,NA,NA
2341,Work and Kinetic Energy,NF,N,NP
2341,Potential Energy,NF,N,NP
2341,When is Mechanical Energy Conserved,NF,N,NP
2341,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2341,Problems Using Conservation of Mechanical Energy,NF,N,BF
2341,Problems with Two Types of Potential Energy,Other_NA,NA,NA
2341,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2341,More mechanical energy problems,NF,B,BF
2350,Kinetic Energy,NP,NA,NA
2350,Work by a constant force,NF,B,NF
2350,Work and Kinetic Energy,NP,NA,NA
2350,Potential Energy,Other_NA,NA,NA
2350,When is Mechanical Energy Conserved,Other_P,NA,NA
2350,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2350,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2350,Problems with Two Types of Potential Energy,NP,NA,NA
2350,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2350,More mechanical energy problems,NF,N,EF
2351,Kinetic Energy,NP,NA,NA
2351,Work by a constant force,NP,NA,NA
2351,Work and Kinetic Energy,NP,NA,NA
2351,Potential Energy,NP,NA,NA
2351,When is Mechanical Energy Conserved,Other_F,NA,NA
2351,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2351,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2351,Problems with Two Types of Potential Energy,NF,B,EP
2351,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2351,More mechanical energy problems,NP,NA,NA
2352,Kinetic Energy,NF,N,NF
2352,Work by a constant force,NF,N,BP
2352,Work and Kinetic Energy,NF,N,NP
2352,Potential Energy,NF,N,NF
2352,When is Mechanical Energy Conserved,NF,N,NP
2352,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2352,Problems Using Conservation of Mechanical Energy,NF,N,EF
2352,Problems with Two Types of Potential Energy,BP,NA,NA
2352,Mechanical Energy and Non-Conservative Work,NF,N,NP
2352,More mechanical energy problems,NF,N,EP
2358,Kinetic Energy,NF,N,EP
2358,Work by a constant force,NF,N,BF
2358,Work and Kinetic Energy,NP,NA,NA
2358,Potential Energy,NP,NA,NA
2358,When is Mechanical Energy Conserved,NF,N,NP
2358,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2358,Problems Using Conservation of Mechanical Energy,NF,N,EF
2358,Problems with Two Types of Potential Energy,NF,B,EP
2358,Mechanical Energy and Non-Conservative Work,NF,N,NP
2358,More mechanical energy problems,NF,B,NP
2367,Kinetic Energy,NP,NA,NA
2367,Work by a constant force,NF,N,BP
2367,Work and Kinetic Energy,NP,NA,NA
2367,Potential Energy,BF,N,NF
2367,When is Mechanical Energy Conserved,NF,N,EP
2367,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2367,Problems Using Conservation of Mechanical Energy,NF,N,EP
2367,Problems with Two Types of Potential Energy,NP,NA,NA
2367,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2367,More mechanical energy problems,NF,N,EP
2377,Kinetic Energy,Other_F,NA,NA
2377,Work by a constant force,BF,B,BP
2377,Work and Kinetic Energy,NF,B,BF
2377,Potential Energy,NF,B,NF
2377,When is Mechanical Energy Conserved,BF,N,BF
2377,Simple Application of Conservation of Mechanical Energy,NF,B,BP
2377,Problems Using Conservation of Mechanical Energy,BF,B,BF
2377,Problems with Two Types of Potential Energy,BF,B,BP
2377,Mechanical Energy and Non-Conservative Work,BP,NA,NA
2377,More mechanical energy problems,BF,B,BF
2383,Kinetic Energy,NF,N,EP
2383,Work by a constant force,NF,N,NP
2383,Work and Kinetic Energy,NF,N,NP
2383,Potential Energy,NF,N,NP
2383,When is Mechanical Energy Conserved,NF,N,NP
2383,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2383,Problems Using Conservation of Mechanical Energy,NF,N,EP
2383,Problems with Two Types of Potential Energy,BP,NA,NA
2383,Mechanical Energy and Non-Conservative Work,NF,N,NP
2383,More mechanical energy problems,NP,NA,NA
2386,Kinetic Energy,NF,B,EP
2386,Work by a constant force,NF,N,BF
2386,Work and Kinetic Energy,NP,NA,NA
2386,Potential Energy,NF,N,NF
2386,When is Mechanical Energy Conserved,NF,N,NP
2386,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2386,Problems Using Conservation of Mechanical Energy,NF,N,EF
2386,Problems with Two Types of Potential Energy,NF,B,EF
2386,Mechanical Energy and Non-Conservative Work,BF,N,EP
2386,More mechanical energy problems,NF,N,EP
2388,Kinetic Energy,Other_F,NA,NA
2388,Work by a constant force,NF,N,BP
2388,Work and Kinetic Energy,NF,B,NP
2388,Potential Energy,NP,NA,NA
2388,When is Mechanical Energy Conserved,NF,N,NP
